"","rho","correlation","pval","samples","num_nodes","pearson_r"
"86",0.394625698914751,0.396907969668235,0.02,7700,200,0.28
"87",0.394625698914751,0.398032830312403,0.079,7700,200,0.28
"88",0.394625698914751,0.39408016410554,0.905,7700,200,0.28
"89",0.394625698914751,0.400374904296313,0.035,7700,200,0.28
"90",0.394625698914751,0.39614572585451,0.489,7700,200,0.28
"91",0.394625698914751,0.396752423472912,0.589,7700,200,0.28
"92",0.394625698914751,0.396535944636314,0.244,7700,200,0.28
"93",0.394625698914751,0.39588989605648,0.089,7700,200,0.28
"94",0.394625698914751,0.394020361498523,0.492,7700,200,0.28
"95",0.394625698914751,0.394671679506091,0.714,7700,200,0.28
"96",0.394625698914751,0.397161100049226,0.049,7700,200,0.28
"97",0.394625698914751,0.4059819367164,0.014,7700,200,0.28
"98",0.394625698914751,0.393892757112767,0.012,7700,200,0.28
"99",0.394625698914751,0.39956197453457,0.356,7700,200,0.28
"100",0.394625698914751,0.39512813907239,0.005,7700,200,0.28
"101",0.653015460353345,0.655129422154779,0,7300,200,0.28
"102",0.653015460353345,0.654626670358846,0.017,7300,200,0.28
"103",0.653015460353345,0.656520882416781,0.052,7300,200,0.28
"104",0.653015460353345,0.654255077838564,0.001,7300,200,0.28
"105",0.653015460353345,0.655700955615355,0.021,7300,200,0.28
"106",0.653015460353345,0.654133707550501,0,7300,200,0.28
"107",0.653015460353345,0.653867882620947,0.019,7300,200,0.28
"108",0.653015460353345,0.648257675867793,0.096,7300,200,0.28
"109",0.653015460353345,0.651252200898107,0.001,7300,200,0.28
"110",0.653015460353345,0.651991440717456,0,7300,200,0.28
"111",0.653015460353345,0.649811882262734,0.027,7300,200,0.28
"112",0.653015460353345,0.653654857859665,0,7300,200,0.28
"113",0.653015460353345,0.652981286304202,0.011,7300,200,0.28
"114",0.653015460353345,0.650574001739426,0.01,7300,200,0.28
"115",0.653015460353345,0.654561771076865,0.046,7300,200,0.28
"116",0.653015460353345,0.655949330205962,0.04,7300,200,0.28
"117",0.653015460353345,0.657167573196371,0.01,7300,200,0.28
"118",0.653015460353345,0.654101764346974,0,7300,200,0.28
"119",0.653015460353345,0.65380056888254,0.007,7300,200,0.28
"120",0.653015460353345,0.650497792058909,0.038,7300,200,0.28
"121",0.653015460353345,0.652907151091139,0.004,7300,200,0.28
"122",0.653015460353345,0.652003888307724,0.02,7300,200,0.28
"123",0.653015460353345,0.649312519323336,0.002,7300,200,0.28
"124",0.653015460353345,0.654748789886068,0.001,7300,200,0.28
"125",0.653015460353345,0.659974772904101,0.116,7300,200,0.28
"126",0.653015460353345,0.648082102151126,0.007,7300,200,0.28
"127",0.653015460353345,0.650046451981798,0.021,7300,200,0.28
"128",0.653015460353345,0.649321641291804,0.009,7300,200,0.28
"129",0.653015460353345,0.649469915586964,0.067,7300,200,0.28
"130",0.653015460353345,0.650837152753887,0.018,7300,200,0.28
"131",0.653015460353345,0.652952888692477,0.036,7300,200,0.28
"132",0.653015460353345,0.65571222106736,0.005,7300,200,0.28
"133",0.653015460353345,0.653435099648884,0.602,7300,200,0.28
"134",0.653015460353345,0.654380445550903,0.006,7300,200,0.28
"135",0.653015460353345,0.656230119916379,0.096,7300,200,0.28
"136",0.653015460353345,0.656654753457849,0.007,7300,200,0.28
"137",0.653015460353345,0.651345124391574,0.001,7300,200,0.28
"138",0.653015460353345,0.654733834969214,0.003,7300,200,0.28
"139",0.653015460353345,0.649545423392548,0.469,7300,200,0.28
"140",0.653015460353345,0.652275745746389,0.004,7300,200,0.28
"141",0.653015460353345,0.651992615019997,0.002,7300,200,0.28
"142",0.653015460353345,0.656436479428105,0.503,7300,200,0.28
"143",0.653015460353345,0.652666815636672,0.004,7300,200,0.28
"144",0.653015460353345,0.654851553387061,0,7300,200,0.28
"145",0.653015460353345,0.64770076307844,0.054,7300,200,0.28
"146",0.653015460353345,0.653776259436472,0.046,7300,200,0.28
"147",0.653015460353345,0.652409702749519,0.016,7300,200,0.28
"148",0.653015460353345,0.650735144182498,0.04,7300,200,0.28
"149",0.653015460353345,0.655738849437695,0.09,7300,200,0.28
"150",0.653015460353345,0.652215200916048,0,7300,200,0.28
"151",0.653015460353345,0.652234492051143,0.195,7300,200,0.28
"152",0.653015460353345,0.654972507000596,0,7300,200,0.28
"153",0.653015460353345,0.653139333591126,0.47,7300,200,0.28
"154",0.653015460353345,0.651630652115866,0.149,7300,200,0.28
"155",0.653015460353345,0.652461859257492,0.014,7300,200,0.28
